,ticker,updated_at,shares,eps,f_eps,margin,ebitda,rev_growth,earn_growth,mcap_raw,t_mean,t_high,t_low,rec,source
NVDA,NVDA,2026-05-21 08:57,24220525225.0,4.9,11.6088,0.65024,133230002176.0,0.732,0.956,5412560568320.0,275.83212,380.0,140.0,strong_buy,Yahoo API
AMD,AMD,2026-05-21 08:58,1630600639.0,2.98,12.95399,0.14396,7430000128.0,0.378,0.912,729824165888.0,460.79166,625.0,225.0,buy,Yahoo API
TSM,TSM,2026-05-21 08:58,5186474000.0,11.89,19.51673,0.58105,2856031092736.0,0.351,0.584,2082991636480.0,467.84027,600.0,354.0,strong_buy,Yahoo API
AVGO,AVGO,2026-05-21 08:58,4734668184.0,5.14,18.25904,0.44943002,37218000896.0,0.295,0.316,1977955123200.0,477.12985,630.0,215.88,strong_buy,Yahoo API
INTC,INTC,2026-05-21 08:58,5026000000.0,-0.6,1.53972,0.06879,14174000128.0,0.072,,597892923392.0,87.8619,150.0,20.4,hold,Yahoo API
ARM,ARM,2026-05-21 08:58,1063998569.0,0.85,3.05516,0.29597,1148999936.0,0.201,0.457,273160372224.0,230.91946,326.0,125.0,buy,Yahoo API
QCOM,QCOM,2026-05-21 08:58,1054000000.0,9.29,10.63617,0.22059,12999000064.0,-0.035,1.73,213445541888.0,177.58064,300.0,100.0,hold,Yahoo API
MRVL,MRVL,2026-05-21 08:58,875553173.0,3.07,5.42677,0.18655,2629499904.0,0.221,1.063,163553329152.0,141.41193,220.0,85.0,strong_buy,Yahoo API
ADI,ADI,2026-05-21 08:58,487087040.0,5.47,13.24727,0.33067,5459077120.0,0.304,1.167,193884995584.0,408.03226,510.0,295.0,buy,Yahoo API
TXN,TXN,2026-05-21 08:58,910092791.0,5.86,9.4142,0.37824002,8664999936.0,0.186,0.313,277469102080.0,283.9375,340.0,200.0,buy,Yahoo API
NXPI,NXPI,2026-05-21 08:58,252471079.0,10.45,17.62872,0.47375,4787999744.0,0.122,1.307,78303903744.0,300.12903,380.0,200.0,buy,Yahoo API
SNDK,SNDK,2026-05-21 08:58,148089758.0,29.33,175.37572,0.69983,5632000000.0,2.51,,206223884288.0,1460.409,2350.0,1000.0,buy,Yahoo API
MU,MU,2026-05-21 08:58,1127734051.0,21.17,102.73888,0.67624,36802998272.0,1.963,7.56,825490014208.0,612.65857,1100.0,249.0,strong_buy,Yahoo API
WDC,WDC,2026-05-21 08:58,344682131.0,16.73,17.42049,0.37008998,3928000000.0,0.455,4.829,158422810624.0,507.6087,660.0,360.0,strong_buy,Yahoo API
STX,STX,2026-05-21 08:58,224228992.0,10.56,26.18439,0.35668,3513999872.0,0.441,1.083,168411676672.0,814.9545,1140.0,545.0,strong_buy,Yahoo API
MCHP,MCHP,2026-05-21 08:58,541135458.0,0.22,4.09128,0.17145,1239166464.0,0.351,,50877558784.0,113.24,135.0,75.0,buy,Yahoo API
AMAT,AMAT,2026-05-21 08:58,793609867.0,10.62,16.12552,0.31896,9274999808.0,0.114,0.335,338752372736.0,508.62857,575.0,358.0,buy,Yahoo API
LRCX,LRCX,2026-05-21 08:58,1250571000.0,5.3,7.93142,0.35042998,7847764992.0,0.238,0.408,365279281152.0,311.65625,385.0,220.0,buy,Yahoo API
KLAC,KLAC,2026-05-21 08:58,130627521.0,35.33,49.85477,0.41215,5850215936.0,0.115,0.118,238979121152.0,1851.6897,2100.0,1500.0,buy,Yahoo API
ASML,ASML,2026-05-21 08:58,385417665.0,30.06,47.68984,0.36020002,12704400384.0,0.132,0.192,597447475200.0,1661.4845,2001.1627,899.58136,strong_buy,Yahoo API
TER,TER,2026-05-21 08:58,156542162.0,5.4,9.51322,0.37614,1161465984.0,0.87,3.148,53903728640.0,369.52942,470.0,270.0,buy,Yahoo API
ON,ON,2026-05-21 08:58,388803191.0,1.36,4.25097,0.18232,2047800064.0,0.047,,42850000896.0,103.62069,125.0,68.0,buy,Yahoo API
ENTG,ENTG,2026-05-21 08:58,152300000.0,1.73,4.61425,0.17945999,880700032.0,0.05,0.463,19448709120.0,160.1,205.0,115.0,buy,Yahoo API
MKSI,MKSI,2026-05-21 08:58,67544129.0,4.79,14.78203,0.16048001,941000000.0,0.152,0.532,21040672768.0,359.08334,400.0,265.0,buy,Yahoo API
IPGP,IPGP,2026-05-21 08:58,42443616.0,0.68,2.31143,0.02096,91790000.0,0.166,-0.575,5131857920.0,133.25,162.0,92.5,buy,Yahoo API
PLAB,PLAB,2026-05-21 08:58,58966394.0,2.34,2.36,0.24375,287457984.0,0.061,0.088,2938295296.0,51.5,55.0,48.0,none,Yahoo API
SMCI,SMCI,2026-05-21 08:58,601418482.0,1.9,3.22003,0.061100002,1578648960.0,1.227,3.26,20123461632.0,36.75,58.0,15.0,hold,Yahoo API
VRT,VRT,2026-05-21 08:58,384108816.0,3.97,8.84336,0.16364999,2383000064.0,0.301,1.357,121251627008.0,361.65384,500.0,188.0,buy,Yahoo API
EQIX,EQIX,2026-05-21 08:58,98624248.0,14.47,19.22333,0.24343,4281999872.0,0.121,0.2,105040748544.0,1197.1072,1350.0,950.0,buy,Yahoo API
DLR,DLR,2026-05-21 08:58,351406070.0,3.76,3.11121,0.17191,2888658944.0,0.167,0.676,68195323904.0,218.72414,250.0,180.0,buy,Yahoo API
AMT,AMT,2026-05-21 08:58,465893069.0,6.2,6.90612,0.45907003,6989599744.0,0.068,0.769,85733638144.0,216.13635,260.0,195.0,buy,Yahoo API
CCI,CCI,2026-05-21 08:58,436451983.0,2.37,2.96135,0.47722998,2729999872.0,-0.048,,40432910336.0,98.82,125.0,85.0,buy,Yahoo API
ETN,ETN,2026-05-21 08:58,388300000.0,10.23,15.72393,0.16104999,6343000064.0,0.168,-0.094,147433635840.0,450.9568,515.0,321.0,buy,Yahoo API
PH,PH,2026-05-21 08:58,126086389.0,27.11,34.03701,0.21528,5479000064.0,0.106,-0.042,108363685888.0,1033.75,1147.0,680.0,buy,Yahoo API
MOD,MOD,2026-05-21 08:58,52731197.0,1.83,7.37656,0.11913,419600000.0,0.305,,13569317888.0,265.57144,310.0,250.0,none,Yahoo API
NTAP,NTAP,2026-05-21 08:58,197330400.0,5.96,8.5324,0.25160998,1751000064.0,0.044,0.16,23563239424.0,117.13333,137.0,88.0,buy,Yahoo API
PSTG,PSTG,2026-05-21 08:58,330460930.0,0.55,2.83871,-0.18452999,262631008.0,,,22405251072.0,89.89474,105.0,63.0,buy,Yahoo API
ANET,ANET,2026-05-21 08:58,1259169438.0,2.92,4.44953,0.42738998,4237199872.0,0.351,0.25,176900718592.0,188.1937,220.0,164.0,strong_buy,Yahoo API
CSCO,CSCO,2026-05-21 08:58,3941434665.0,3.0,4.74713,0.25035998,16976000000.0,0.12,0.371,450703032320.0,122.8687,150.0,84.98,buy,Yahoo API
CIEN,CIEN,2026-05-21 08:58,141398427.0,1.57,8.74167,0.13399,570512000.0,0.331,2.323,78442192896.0,440.53745,675.0,240.0,buy,Yahoo API
